consentKey.keys,consentKey.rt,languageL1Key.keys,languageL1Key.rt,languageL2,languageL2OralKey.keys,languageL2OralKey.rt,languageL2WrittenKey.keys,languageL2WrittenKey.rt,languageL3OralKey.keys,languageL3OralKey.rt,languageL3WrittenKey.keys,languageL3WrittenKey.rt,languageCatalanOralKey.keys,languageCatalanOralKey.rt,languageCatalanWrittenKey.keys,languageCatalanWrittenKey.rt,languageCatalanTimeKey.keys,languageCatalanTimeKey.rt,age,demoSexKey.keys,demoSexKey.rt,demoEducationKey.keys,demoEducationKey.rt,city,demoVisionKey.keys,demoVisionKey.rt,demoLanguageKey.keys,demoLanguageKey.rt,setupLocationKey.keys,setupLocationKey.rt,setupNoiseKey.keys,setupNoiseKey.rt,instructionsKeys.keys,instructionsKeys.rt,keyPressed,keyPressTime,inputText,error,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials_practice.ran,trials_practice.order,trial_id,word,test_language,soundfile,date,expName,psychopyVersion,OS,frameRate,participant,trialOffset,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order
space,18.88199997,e,9.139999866,,3,14.13899994,4,11.76900005,,,,,2,14.421,1,7.746000051,2,47.77099991,24,m,43.8440001,4,7.34800005,CARTAGENA,n,9.575000048,n,3.677000046,1,7.295000076,1,8.502000093,space,21.52900004,p,4.427000046,P,FALSE,1,0,5,3,1,4,167,pingui,Catalan,Sounds/cat_pingui.mp3,2020-06-08_18h11.41.559,TranslationElicitation_spa,3.2.4,Win32,60,5ede234d69a8800409af2756,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,4.75999999,PI,FALSE,1,0,5,3,1,4,167,pingui,Catalan,Sounds/cat_pingui.mp3,2020-06-08_18h11.41.559,TranslationElicitation_spa,3.2.4,Win32,60,5ede234d69a8800409af2756,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,5.592999935,PIN,FALSE,1,0,5,3,1,4,167,pingui,Catalan,Sounds/cat_pingui.mp3,2020-06-08_18h11.41.559,TranslationElicitation_spa,3.2.4,Win32,60,5ede234d69a8800409af2756,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,5.75999999,PING,FALSE,1,0,5,3,1,4,167,pingui,Catalan,Sounds/cat_pingui.mp3,2020-06-08_18h11.41.559,TranslationElicitation_spa,3.2.4,Win32,60,5ede234d69a8800409af2756,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,u,5.875999928,PINGU,FALSE,1,0,5,3,1,4,167,pingui,Catalan,Sounds/cat_pingui.mp3,2020-06-08_18h11.41.559,TranslationElicitation_spa,3.2.4,Win32,60,5ede234d69a8800409af2756,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,5.976000071,PINGUI,FALSE,1,0,5,3,1,4,167,pingui,Catalan,Sounds/cat_pingui.mp3,2020-06-08_18h11.41.559,TranslationElicitation_spa,3.2.4,Win32,60,5ede234d69a8800409af2756,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,6.127000093,PINGUIN,FALSE,1,0,5,3,1,4,167,pingui,Catalan,Sounds/cat_pingui.mp3,2020-06-08_18h11.41.559,TranslationElicitation_spa,3.2.4,Win32,60,5ede234d69a8800409af2756,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o,6.229000092,PINGUINO,FALSE,1,0,5,3,1,4,167,pingui,Catalan,Sounds/cat_pingui.mp3,2020-06-08_18h11.41.559,TranslationElicitation_spa,3.2.4,Win32,60,5ede234d69a8800409af2756,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backspace,7.125999928,PINGUI,TRUE,1,0,5,3,1,4,167,pingui,Catalan,Sounds/cat_pingui.mp3,2020-06-08_18h11.41.559,TranslationElicitation_spa,3.2.4,Win32,60,5ede234d69a8800409af2756,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backspace,7.25999999,PING,TRUE,1,0,5,3,1,4,167,pingui,Catalan,Sounds/cat_pingui.mp3,2020-06-08_18h11.41.559,TranslationElicitation_spa,3.2.4,Win32,60,5ede234d69a8800409af2756,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,apostrophe,8.493000031,PING,TRUE,1,0,5,3,1,4,167,pingui,Catalan,Sounds/cat_pingui.mp3,2020-06-08_18h11.41.559,TranslationElicitation_spa,3.2.4,Win32,60,5ede234d69a8800409af2756,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,u,8.858999968,PINGÚ,TRUE,1,0,5,3,1,4,167,pingui,Catalan,Sounds/cat_pingui.mp3,2020-06-08_18h11.41.559,TranslationElicitation_spa,3.2.4,Win32,60,5ede234d69a8800409af2756,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,8.959000111,PINGÚI,TRUE,1,0,5,3,1,4,167,pingui,Catalan,Sounds/cat_pingui.mp3,2020-06-08_18h11.41.559,TranslationElicitation_spa,3.2.4,Win32,60,5ede234d69a8800409af2756,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,9.159000158,PINGÚIN,TRUE,1,0,5,3,1,4,167,pingui,Catalan,Sounds/cat_pingui.mp3,2020-06-08_18h11.41.559,TranslationElicitation_spa,3.2.4,Win32,60,5ede234d69a8800409af2756,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o,9.292999983,PINGÚINO,TRUE,1,0,5,3,1,4,167,pingui,Catalan,Sounds/cat_pingui.mp3,2020-06-08_18h11.41.559,TranslationElicitation_spa,3.2.4,Win32,60,5ede234d69a8800409af2756,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backspace,9.625999928,PINGÚI,TRUE,1,0,5,3,1,4,167,pingui,Catalan,Sounds/cat_pingui.mp3,2020-06-08_18h11.41.559,TranslationElicitation_spa,3.2.4,Win32,60,5ede234d69a8800409af2756,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backspace,9.759000063,PING,TRUE,1,0,5,3,1,4,167,pingui,Catalan,Sounds/cat_pingui.mp3,2020-06-08_18h11.41.559,TranslationElicitation_spa,3.2.4,Win32,60,5ede234d69a8800409af2756,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backspace,9.993000031,PI,TRUE,1,0,5,3,1,4,167,pingui,Catalan,Sounds/cat_pingui.mp3,2020-06-08_18h11.41.559,TranslationElicitation_spa,3.2.4,Win32,60,5ede234d69a8800409af2756,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,10.94300008,PIN,TRUE,1,0,5,3,1,4,167,pingui,Catalan,Sounds/cat_pingui.mp3,2020-06-08_18h11.41.559,TranslationElicitation_spa,3.2.4,Win32,60,5ede234d69a8800409af2756,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,11.20900011,PING,TRUE,1,0,5,3,1,4,167,pingui,Catalan,Sounds/cat_pingui.mp3,2020-06-08_18h11.41.559,TranslationElicitation_spa,3.2.4,Win32,60,5ede234d69a8800409af2756,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,apostrophe,12.14199996,PING,TRUE,1,0,5,3,1,4,167,pingui,Catalan,Sounds/cat_pingui.mp3,2020-06-08_18h11.41.559,TranslationElicitation_spa,3.2.4,Win32,60,5ede234d69a8800409af2756,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,u,12.75900006,PINGÚ,TRUE,1,0,5,3,1,4,167,pingui,Catalan,Sounds/cat_pingui.mp3,2020-06-08_18h11.41.559,TranslationElicitation_spa,3.2.4,Win32,60,5ede234d69a8800409af2756,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,12.95900011,PINGÚI,TRUE,1,0,5,3,1,4,167,pingui,Catalan,Sounds/cat_pingui.mp3,2020-06-08_18h11.41.559,TranslationElicitation_spa,3.2.4,Win32,60,5ede234d69a8800409af2756,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,13.24500012,PINGÚIN,TRUE,1,0,5,3,1,4,167,pingui,Catalan,Sounds/cat_pingui.mp3,2020-06-08_18h11.41.559,TranslationElicitation_spa,3.2.4,Win32,60,5ede234d69a8800409af2756,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o,13.50900006,PINGÚINO,TRUE,1,0,5,3,1,4,167,pingui,Catalan,Sounds/cat_pingui.mp3,2020-06-08_18h11.41.559,TranslationElicitation_spa,3.2.4,Win32,60,5ede234d69a8800409af2756,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backspace,14.875,PINGÚI,TRUE,1,0,5,3,1,4,167,pingui,Catalan,Sounds/cat_pingui.mp3,2020-06-08_18h11.41.559,TranslationElicitation_spa,3.2.4,Win32,60,5ede234d69a8800409af2756,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backspace,15.0250001,PING,TRUE,1,0,5,3,1,4,167,pingui,Catalan,Sounds/cat_pingui.mp3,2020-06-08_18h11.41.559,TranslationElicitation_spa,3.2.4,Win32,60,5ede234d69a8800409af2756,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backspace,15.20900011,PI,TRUE,1,0,5,3,1,4,167,pingui,Catalan,Sounds/cat_pingui.mp3,2020-06-08_18h11.41.559,TranslationElicitation_spa,3.2.4,Win32,60,5ede234d69a8800409af2756,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,16.07500005,PIN,TRUE,1,0,5,3,1,4,167,pingui,Catalan,Sounds/cat_pingui.mp3,2020-06-08_18h11.41.559,TranslationElicitation_spa,3.2.4,Win32,60,5ede234d69a8800409af2756,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,16.30900002,PING,TRUE,1,0,5,3,1,4,167,pingui,Catalan,Sounds/cat_pingui.mp3,2020-06-08_18h11.41.559,TranslationElicitation_spa,3.2.4,Win32,60,5ede234d69a8800409af2756,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,u,16.40900016,PINGU,TRUE,1,0,5,3,1,4,167,pingui,Catalan,Sounds/cat_pingui.mp3,2020-06-08_18h11.41.559,TranslationElicitation_spa,3.2.4,Win32,60,5ede234d69a8800409af2756,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,16.47500014,PINGUI,TRUE,1,0,5,3,1,4,167,pingui,Catalan,Sounds/cat_pingui.mp3,2020-06-08_18h11.41.559,TranslationElicitation_spa,3.2.4,Win32,60,5ede234d69a8800409af2756,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,16.64199996,PINGUIN,TRUE,1,0,5,3,1,4,167,pingui,Catalan,Sounds/cat_pingui.mp3,2020-06-08_18h11.41.559,TranslationElicitation_spa,3.2.4,Win32,60,5ede234d69a8800409af2756,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o,16.7420001,PINGUINO,TRUE,1,0,5,3,1,4,167,pingui,Catalan,Sounds/cat_pingui.mp3,2020-06-08_18h11.41.559,TranslationElicitation_spa,3.2.4,Win32,60,5ede234d69a8800409af2756,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,17.07500005,,TRUE,1,0,5,3,1,4,167,pingui,Catalan,Sounds/cat_pingui.mp3,2020-06-08_18h11.41.559,TranslationElicitation_spa,3.2.4,Win32,60,5ede234d69a8800409af2756,17.07500005,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,5,3,1,4,167,pingui,Catalan,Sounds/cat_pingui.mp3,2020-06-08_18h11.41.559,TranslationElicitation_spa,3.2.4,Win32,60,5ede234d69a8800409af2756,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,3.842999935,A,FALSE,1,0,5,0,1,4,109,arbre,Catalan,Sounds/cat_arbre.mp3,2020-06-08_18h11.41.559,TranslationElicitation_spa,3.2.4,Win32,60,5ede234d69a8800409af2756,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,3.960000038,AB,FALSE,1,0,5,0,1,4,109,arbre,Catalan,Sounds/cat_arbre.mp3,2020-06-08_18h11.41.559,TranslationElicitation_spa,3.2.4,Win32,60,5ede234d69a8800409af2756,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,4.126999855,ABR,FALSE,1,0,5,0,1,4,109,arbre,Catalan,Sounds/cat_arbre.mp3,2020-06-08_18h11.41.559,TranslationElicitation_spa,3.2.4,Win32,60,5ede234d69a8800409af2756,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o,4.226999998,ABRO,FALSE,1,0,5,0,1,4,109,arbre,Catalan,Sounds/cat_arbre.mp3,2020-06-08_18h11.41.559,TranslationElicitation_spa,3.2.4,Win32,60,5ede234d69a8800409af2756,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,l,4.394000053,ABROL,FALSE,1,0,5,0,1,4,109,arbre,Catalan,Sounds/cat_arbre.mp3,2020-06-08_18h11.41.559,TranslationElicitation_spa,3.2.4,Win32,60,5ede234d69a8800409af2756,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backspace,4.75999999,ABR,TRUE,1,0,5,0,1,4,109,arbre,Catalan,Sounds/cat_arbre.mp3,2020-06-08_18h11.41.559,TranslationElicitation_spa,3.2.4,Win32,60,5ede234d69a8800409af2756,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backspace,4.892999887,A,TRUE,1,0,5,0,1,4,109,arbre,Catalan,Sounds/cat_arbre.mp3,2020-06-08_18h11.41.559,TranslationElicitation_spa,3.2.4,Win32,60,5ede234d69a8800409af2756,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backspace,5.02699995,,TRUE,1,0,5,0,1,4,109,arbre,Catalan,Sounds/cat_arbre.mp3,2020-06-08_18h11.41.559,TranslationElicitation_spa,3.2.4,Win32,60,5ede234d69a8800409af2756,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backspace,5.159999847,,TRUE,1,0,5,0,1,4,109,arbre,Catalan,Sounds/cat_arbre.mp3,2020-06-08_18h11.41.559,TranslationElicitation_spa,3.2.4,Win32,60,5ede234d69a8800409af2756,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,apostrophe,5.993000031,,TRUE,1,0,5,0,1,4,109,arbre,Catalan,Sounds/cat_arbre.mp3,2020-06-08_18h11.41.559,TranslationElicitation_spa,3.2.4,Win32,60,5ede234d69a8800409af2756,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,6.126999855,Á,TRUE,1,0,5,0,1,4,109,arbre,Catalan,Sounds/cat_arbre.mp3,2020-06-08_18h11.41.559,TranslationElicitation_spa,3.2.4,Win32,60,5ede234d69a8800409af2756,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,6.493000031,ÁR,TRUE,1,0,5,0,1,4,109,arbre,Catalan,Sounds/cat_arbre.mp3,2020-06-08_18h11.41.559,TranslationElicitation_spa,3.2.4,Win32,60,5ede234d69a8800409af2756,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,6.726999998,ÁRB,TRUE,1,0,5,0,1,4,109,arbre,Catalan,Sounds/cat_arbre.mp3,2020-06-08_18h11.41.559,TranslationElicitation_spa,3.2.4,Win32,60,5ede234d69a8800409af2756,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o,6.809999943,ÁRBO,TRUE,1,0,5,0,1,4,109,arbre,Catalan,Sounds/cat_arbre.mp3,2020-06-08_18h11.41.559,TranslationElicitation_spa,3.2.4,Win32,60,5ede234d69a8800409af2756,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,l,6.976000071,ÁRBOL,TRUE,1,0,5,0,1,4,109,arbre,Catalan,Sounds/cat_arbre.mp3,2020-06-08_18h11.41.559,TranslationElicitation_spa,3.2.4,Win32,60,5ede234d69a8800409af2756,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,7.228999853,,TRUE,1,0,5,0,1,4,109,arbre,Catalan,Sounds/cat_arbre.mp3,2020-06-08_18h11.41.559,TranslationElicitation_spa,3.2.4,Win32,60,5ede234d69a8800409af2756,7.228999853,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,5,0,1,4,109,arbre,Catalan,Sounds/cat_arbre.mp3,2020-06-08_18h11.41.559,TranslationElicitation_spa,3.2.4,Win32,60,5ede234d69a8800409af2756,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,1.944000006,T,FALSE,1,0,5,4,1,4,179,tigre,Catalan,Sounds/cat_tigre.mp3,2020-06-08_18h11.41.559,TranslationElicitation_spa,3.2.4,Win32,60,5ede234d69a8800409af2756,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,2.044000149,TI,FALSE,1,0,5,4,1,4,179,tigre,Catalan,Sounds/cat_tigre.mp3,2020-06-08_18h11.41.559,TranslationElicitation_spa,3.2.4,Win32,60,5ede234d69a8800409af2756,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,2.210999966,TIG,FALSE,1,0,5,4,1,4,179,tigre,Catalan,Sounds/cat_tigre.mp3,2020-06-08_18h11.41.559,TranslationElicitation_spa,3.2.4,Win32,60,5ede234d69a8800409af2756,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,2.311000109,TIGR,FALSE,1,0,5,4,1,4,179,tigre,Catalan,Sounds/cat_tigre.mp3,2020-06-08_18h11.41.559,TranslationElicitation_spa,3.2.4,Win32,60,5ede234d69a8800409af2756,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e,2.511000156,TIGRE,FALSE,1,0,5,4,1,4,179,tigre,Catalan,Sounds/cat_tigre.mp3,2020-06-08_18h11.41.559,TranslationElicitation_spa,3.2.4,Win32,60,5ede234d69a8800409af2756,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,2.894000053,,FALSE,1,0,5,4,1,4,179,tigre,Catalan,Sounds/cat_tigre.mp3,2020-06-08_18h11.41.559,TranslationElicitation_spa,3.2.4,Win32,60,5ede234d69a8800409af2756,2.894000053,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,5,4,1,4,179,tigre,Catalan,Sounds/cat_tigre.mp3,2020-06-08_18h11.41.559,TranslationElicitation_spa,3.2.4,Win32,60,5ede234d69a8800409af2756,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,4.746999979,N,FALSE,1,0,5,2,1,4,159,onada,Catalan,Sounds/cat_onada.mp3,2020-06-08_18h11.41.559,TranslationElicitation_spa,3.2.4,Win32,60,5ede234d69a8800409af2756,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,4.830999851,NA,FALSE,1,0,5,2,1,4,159,onada,Catalan,Sounds/cat_onada.mp3,2020-06-08_18h11.41.559,TranslationElicitation_spa,3.2.4,Win32,60,5ede234d69a8800409af2756,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,4.996999979,NAD,FALSE,1,0,5,2,1,4,159,onada,Catalan,Sounds/cat_onada.mp3,2020-06-08_18h11.41.559,TranslationElicitation_spa,3.2.4,Win32,60,5ede234d69a8800409af2756,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,5.136999846,NADA,FALSE,1,0,5,2,1,4,159,onada,Catalan,Sounds/cat_onada.mp3,2020-06-08_18h11.41.559,TranslationElicitation_spa,3.2.4,Win32,60,5ede234d69a8800409af2756,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,5.279999971,,FALSE,1,0,5,2,1,4,159,onada,Catalan,Sounds/cat_onada.mp3,2020-06-08_18h11.41.559,TranslationElicitation_spa,3.2.4,Win32,60,5ede234d69a8800409af2756,5.279999971,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,5,2,1,4,159,onada,Catalan,Sounds/cat_onada.mp3,2020-06-08_18h11.41.559,TranslationElicitation_spa,3.2.4,Win32,60,5ede234d69a8800409af2756,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,1.44900012,C,FALSE,1,0,5,1,1,4,147,jaqueta,Catalan,Sounds/cat_jaqueta.mp3,2020-06-08_18h11.41.559,TranslationElicitation_spa,3.2.4,Win32,60,5ede234d69a8800409af2756,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,h,1.565999985,CH,FALSE,1,0,5,1,1,4,147,jaqueta,Catalan,Sounds/cat_jaqueta.mp3,2020-06-08_18h11.41.559,TranslationElicitation_spa,3.2.4,Win32,60,5ede234d69a8800409af2756,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1.683000088,CHA,FALSE,1,0,5,1,1,4,147,jaqueta,Catalan,Sounds/cat_jaqueta.mp3,2020-06-08_18h11.41.559,TranslationElicitation_spa,3.2.4,Win32,60,5ede234d69a8800409af2756,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,1.848999977,CHAQ,FALSE,1,0,5,1,1,4,147,jaqueta,Catalan,Sounds/cat_jaqueta.mp3,2020-06-08_18h11.41.559,TranslationElicitation_spa,3.2.4,Win32,60,5ede234d69a8800409af2756,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,u,1.898999929,CHAQU,FALSE,1,0,5,1,1,4,147,jaqueta,Catalan,Sounds/cat_jaqueta.mp3,2020-06-08_18h11.41.559,TranslationElicitation_spa,3.2.4,Win32,60,5ede234d69a8800409af2756,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e,2.041000128,CHAQUE,FALSE,1,0,5,1,1,4,147,jaqueta,Catalan,Sounds/cat_jaqueta.mp3,2020-06-08_18h11.41.559,TranslationElicitation_spa,3.2.4,Win32,60,5ede234d69a8800409af2756,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,2.200000048,CHAQUET,FALSE,1,0,5,1,1,4,147,jaqueta,Catalan,Sounds/cat_jaqueta.mp3,2020-06-08_18h11.41.559,TranslationElicitation_spa,3.2.4,Win32,60,5ede234d69a8800409af2756,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,2.400000095,CHAQUETA,FALSE,1,0,5,1,1,4,147,jaqueta,Catalan,Sounds/cat_jaqueta.mp3,2020-06-08_18h11.41.559,TranslationElicitation_spa,3.2.4,Win32,60,5ede234d69a8800409af2756,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,2.602999926,,FALSE,1,0,5,1,1,4,147,jaqueta,Catalan,Sounds/cat_jaqueta.mp3,2020-06-08_18h11.41.559,TranslationElicitation_spa,3.2.4,Win32,60,5ede234d69a8800409af2756,2.602999926,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,5,1,1,4,147,jaqueta,Catalan,Sounds/cat_jaqueta.mp3,2020-06-08_18h11.41.559,TranslationElicitation_spa,3.2.4,Win32,60,5ede234d69a8800409af2756,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,1.964999914,P,FALSE,,,,,,,169,plat,Catalan,Sounds/cat_plat.mp3,2020-06-08_18h11.41.559,TranslationElicitation_spa,3.2.4,Win32,60,5ede234d69a8800409af2756,,1,0,80,61,1,79
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,l,2.098999977,PL,FALSE,,,,,,,169,plat,Catalan,Sounds/cat_plat.mp3,2020-06-08_18h11.41.559,TranslationElicitation_spa,3.2.4,Win32,60,5ede234d69a8800409af2756,,1,0,80,61,1,79
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,2.148999929,PLA,FALSE,,,,,,,169,plat,Catalan,Sounds/cat_plat.mp3,2020-06-08_18h11.41.559,TranslationElicitation_spa,3.2.4,Win32,60,5ede234d69a8800409af2756,,1,0,80,61,1,79
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,2.414999962,PLAT,FALSE,,,,,,,169,plat,Catalan,Sounds/cat_plat.mp3,2020-06-08_18h11.41.559,TranslationElicitation_spa,3.2.4,Win32,60,5ede234d69a8800409af2756,,1,0,80,61,1,79
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o,2.532000065,PLATO,FALSE,,,,,,,169,plat,Catalan,Sounds/cat_plat.mp3,2020-06-08_18h11.41.559,TranslationElicitation_spa,3.2.4,Win32,60,5ede234d69a8800409af2756,,1,0,80,61,1,79
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,3.098999977,,FALSE,,,,,,,169,plat,Catalan,Sounds/cat_plat.mp3,2020-06-08_18h11.41.559,TranslationElicitation_spa,3.2.4,Win32,60,5ede234d69a8800409af2756,3.09800005,1,0,80,61,1,79
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169,plat,Catalan,Sounds/cat_plat.mp3,2020-06-08_18h11.41.559,TranslationElicitation_spa,3.2.4,Win32,60,5ede234d69a8800409af2756,,1,0,80,61,1,79
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,0.96600008,P,FALSE,,,,,,,164,patata,Catalan,Sounds/cat_patata.mp3,2020-06-08_18h11.41.559,TranslationElicitation_spa,3.2.4,Win32,60,5ede234d69a8800409af2756,,1,0,80,57,1,79
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1.065999985,PA,FALSE,,,,,,,164,patata,Catalan,Sounds/cat_patata.mp3,2020-06-08_18h11.41.559,TranslationElicitation_spa,3.2.4,Win32,60,5ede234d69a8800409af2756,,1,0,80,57,1,79
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,1.249000072,PAT,FALSE,,,,,,,164,patata,Catalan,Sounds/cat_patata.mp3,2020-06-08_18h11.41.559,TranslationElicitation_spa,3.2.4,Win32,60,5ede234d69a8800409af2756,,1,0,80,57,1,79
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1.46600008,PATA,FALSE,,,,,,,164,patata,Catalan,Sounds/cat_patata.mp3,2020-06-08_18h11.41.559,TranslationElicitation_spa,3.2.4,Win32,60,5ede234d69a8800409af2756,,1,0,80,57,1,79
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,1.631999969,PATAT,FALSE,,,,,,,164,patata,Catalan,Sounds/cat_patata.mp3,2020-06-08_18h11.41.559,TranslationElicitation_spa,3.2.4,Win32,60,5ede234d69a8800409af2756,,1,0,80,57,1,79
